episode_id,title,episode_type,season,episode_number,current_status,director,due_date,script_url,guest_name,recording_date,recording_location,material_status
"S2-SP02","マルチタスクという幻想（特別編）","vtr",2,14,"台本作成中","佐藤ディレクター","2026-05-20","https://docs.google.com/document/d/dummy29",,,,"×"
"S2-SP03","引き継ぎという贈り物（特別編）","vtr",2,15,"台本作成中","田中ディレクター","2026-05-30","https://docs.google.com/document/d/dummy30",,,,"×"
"LA-INT001","谷川嘉浩：現代社会を解読する哲学者","interview",1,1,"完パケ納品","高橋ディレクター","2025-08-10","https://docs.google.com/document/d/dummy31","谷川嘉浩","2025-07-20","東京スタジオA",
"LA-INT002","大川内直子：文化人類学をビジネスに応用する実務家","interview",1,2,"修正中","高橋ディレクター","2025-09-05","https://docs.google.com/document/d/dummy32","大川内直子","2025-08-15","東京スタジオA",
"LA-INT003","舟津昌平：マクロな経済構造転換とイノベーション","interview",1,3,"MA中","高橋ディレクター","2025-09-30","https://docs.google.com/document/d/dummy33","舟津昌平","2025-08-25","東京スタジオB",
"LA-INT004","庭本佳子：労働法×人的資本とチームリーダーシップ","interview",1,4,"試写1","木村ディレクター","2025-10-15","https://docs.google.com/document/d/dummy34","庭本佳子","2025-09-10","大阪スタジオ",
"LA-INT005","渡部麻衣子：科学技術と社会の架け橋","interview",1,5,"編集中","木村ディレクター","2025-11-01","https://docs.google.com/document/d/dummy35","渡部麻衣子","2025-09-25","東京スタジオA",
"LA-INT006","伊藤亜聖：デジタル新興国の経済研究","interview",1,6,"素材確定","木村ディレクター","2025-11-20","https://docs.google.com/document/d/dummy36","伊藤亜聖","2025-10-15","東京スタジオB",
"DY-INT001","経営者の哲学：変革期のリーダーシップ","interview",2,1,"素材準備","中村ディレクター","2025-12-01","https://docs.google.com/document/d/dummy37","山田太郎（架空）","2025-11-15","同友会ホール",
"DY-INT002","地域創生とビジネス：持続可能な経営","interview",2,2,"台本作成中","中村ディレクター","2025-12-15","https://docs.google.com/document/d/dummy38","佐藤花子（架空）","2025-12-01","同友会ホール",
"DY-INT003","DXと中小企業：デジタル変革の実践","interview",2,3,"台本作成中","中村ディレクター","2026-01-15","https://docs.google.com/document/d/dummy39","鈴木一郎（架空）","2026-01-01","オンライン収録",
"DY-INT004","事業承継の新しい形：次世代への橋渡し","interview",2,4,"台本作成中","中村ディレクター","2026-02-15","https://docs.google.com/document/d/dummy40","田中美香（架空）","2026-02-01","同友会ホール",
"DY-INT005","社会課題とビジネス：共創型経営の未来","interview",2,5,"台本作成中","中村ディレクター","2026-03-15","https://docs.google.com/document/d/dummy41","高橋健二（架空）","2026-03-01","同友会ホール",
